Tabelle: 48112-0004
Unternehmen (EU), Waren- und Dienstleistungskäufe, ;;;;;;;;;;;;;;;;;;
Bruttoinvestitionen u.w. betriebsw. Kennzahlen: Deutschland,;;;;;;;;;;;;;;;;;;
Jahre, Wirtschaftszweige (WZ2008 1-4-Steller Hierarchie);;;;;;;;;;;;;;;;;;
Bereichsübergreifende Unternehmensstatistik;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;
;;Unternehmen (EU);Waren- und Dienstleistungskäufe;Käufe v.Waren u.DL z.Wiederverk. i.unveränd. Zust.;Aufwendungen für Leiharbeitnehmer;Käufe von Energieprodukten;Vorratsveränd. bei fertigen und unfertigen Waren;Vorratsveränderungen bei Waren;Vorratsveränderungen bei Waren f. d. Wiederverkauf;Bruttoinvestitionen in Sachanlagen;Bruttoinvestitionen in Maschinen und Ausrüstungen;Bruttoinvest. in langfrist. immat. Vermögenswerte;Kosten für Rohstoffe bzw. Rohstoffeinkauf;Rohstoffverbrauch;Handelswareneinsatz;Zahlungen an Unterauftragnehmer;Einkünfte aus Unteraufträgen;Kosten für Mieten und Pachten
;;Anzahl;Mill. EUR;Mill. EUR;Mill. EUR;Mill. EUR;Mill. EUR;Mill. EUR;Mill. EUR;Mill. EUR;Mill. EUR;Mill. EUR;Mill. EUR;Mill. EUR;Mill. EUR;Mill. EUR;Mill. EUR;Mill. EUR
2018;;;;;;;;;;;;;;;;;;
WZ08-51;  Luftfahrt;628;24311;4584;127;.;2;324;.;1152;1120;.;7302;7415;4272;.;.;1495
WZ08-511;    Personenbeförderung in der Luftfahrt;554;18414;2295;19;.;2;22;.;1085;1072;.;5784;5896;2286;.;.;1437
WZ08-512;    Güterbeförderung in der Luftfahrt u. Raumtransport;74;5896;2288;108;.;0;302;.;67;48;.;1519;1519;1985;.;.;58
WZ08-5121;      Güterbeförderung in der Luftfahrt;71;5896;.;.;.;0;302;.;.;.;.;1519;1519;.;.;.;58
WZ08-5122;      Raumtransport;3;0;.;.;.;0;0;.;.;.;.;0;0;.;.;.;0
WZ08-52;  Lagerei, sonstige Dienstleistungen für den Verkehr;19879;123139;71595;2636;.;-1746;-1584;.;16680;9229;.;14890;14967;71651;.;.;6052
WZ08-521;    Lagerei;1796;9785;3472;788;.;-31;1;.;666;461;.;1249;1240;3457;.;.;1081
WZ08-522;    Sonstige Dienstleistungen für den Verkehr;18084;113354;68123;1848;.;-1715;-1585;.;16014;8768;.;13641;13727;68193;.;.;4971
WZ08-5221;      Sonstige Dienstleistungen für den Landverkehr;2419;12566;5889;35;.;-1783;-1725;.;.;.;.;430;367;5893;.;.;761
WZ08-5222;      Sonstige Dienstleistungen für die Schifffahrt;711;4240;2337;61;.;30;45;.;714;518;.;835;819;2341;.;.;139
WZ08-5223;      Sonstige Dienstleistungen für die Luftfahrt;478;5711;1726;341;.;39;56;.;1834;462;.;428;426;1724;.;.;301
WZ08-5224;      Frachtumschlag;285;1948;812;85;.;8;8;.;.;.;.;474;520;813;.;.;190
WZ08-5229;      Sonstige Dienstleistungen für den Verkehr a.n.g.;14190;88889;57358;1325;.;-9;31;.;3996;2988;.;11475;11594;57423;.;.;3580
WZ08-53;  Post-, Kurier- und Expressdienste;14144;42666;25490;440;.;9;62;.;2159;1521;.;3965;4083;25498;.;.;1925
WZ08-531;    Postdienste von Universaldienstleistungsanbietern;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
WZ08-532;    Sonstige Post-, Kurier- und Expressdienste;14144;42666;25490;440;.;9;62;.;2159;1521;.;3965;4083;25498;.;.;1925
WZ08-I;Gastgewerbe;228672;58501;4358;750;.;24;447;.;6985;3227;.;23701;23338;4336;.;.;11542
WZ08-55;  Beherbergung;46586;19780;1345;432;.;-22;-38;.;4032;1256;.;5158;5173;1346;.;.;5042
WZ08-551;    Hotels, Gasthöfe und Pensionen;29054;17426;1128;409;.;-7;71;.;3332;1014;.;4544;4474;1120;.;.;4580
WZ08-552;    Ferienunterkünfte u. ähnliche Beherbergungsstätten;14278;1732;160;18;.;-14;-113;.;436;158;.;440;522;177;.;.;353
WZ08-553;    Campingplätze;1762;385;42;4;.;0;3;.;145;55;.;102;105;35;.;.;59
WZ08-559;    Sonstige Beherbergungsstätten;1493;237;15;1;.;0;2;.;119;29;.;72;71;14;.;.;51
WZ08-56;  Gastronomie;182086;38720;3013;318;.;46;484;.;2953;1971;.;18543;18165;2990;.;.;6499
WZ08-561;    Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.;138491;28324;1756;139;.;18;356;.;2222;1523;.;13564;13284;1759;.;.;5261
WZ08-562;    Caterer und sonstige Verpflegungsdienstleistungen;14993;7097;917;166;.;25;66;.;513;287;.;3612;3563;901;.;.;526
WZ08-5621;      Event-Caterer;7169;2376;575;56;.;-1;43;.;176;119;.;896;856;570;.;.;226
WZ08-5629;      Erbringung sonstiger Verpflegungsdienstleistungen;7823;4721;342;110;.;26;23;.;338;168;.;2716;2706;331;.;.;301
WZ08-563;    Ausschank von Getränken;28603;3299;340;12;.;3;62;.;218;160;.;1368;1318;330;.;.;713
WZ08-J;Information und Kommunikation;130517;205718;93473;1605;.;1464;2855;.;19894;17849;.;21586;21294;93200;.;.;10441
WZ08-58;  Verlagswesen;6982;18384;5945;90;.;98;260;.;552;284;.;2478;2600;6112;.;.;896
WZ08-581;    Verlegen von Büchern usw., sonstiges Verlagswesen;5494;16817;5344;83;.;94;260;.;496;246;.;2406;2531;5497;.;.;807
WZ08-5811;      Verlegen von Büchern;1974;3446;1023;17;.;58;123;.;141;55;.;722;714;1017;.;.;142
WZ08-5812;      Verlegen von Adressbüchern und Verzeichnissen;69;483;104;1;.;0;2;.;14;5;.;34;33;104;.;.;16
WZ08-5813;      Verlegen von Zeitungen;595;7945;2568;40;.;13;76;.;246;132;.;861;995;2617;.;.;436
WZ08-5814;      Verlegen von Zeitschriften;1470;3790;1098;10;.;14;40;.;67;31;.;658;654;1194;.;.;158
WZ08-5819;      Sonstiges Verlagswesen (ohne Software);1386;1154;551;15;.;8;18;.;28;24;.;130;135;565;.;.;55
WZ08-582;    Verlegen von Software;1488;1567;601;8;.;5;0;.;56;38;.;73;70;615;.;.;89
WZ08-5821;      Verlegen von Computerspielen;85;467;129;.;.;-1;-9;.;6;6;.;17;16;144;.;.;17
WZ08-5829;      Verlegen von sonstiger Software;1403;1100;472;.;.;6;10;.;50;32;.;56;54;471;.;.;71
WZ08-59;  Film, TV-Programme, Kinos, Tonstudios, Musikverlag;11666;8981;3610;37;.;-87;-93;.;296;222;.;961;991;3590;.;.;521
WZ08-591;    Film, TV-Programme, Verleih, Vertrieb, Kinos;9341;6831;2650;27;.;-97;-100;.;264;192;.;851;878;2628;.;.;462
WZ08-5911;      H.v. Filmen, Videofilmen und Fernsehprogrammen;7083;4943;1964;25;.;-110;-118;.;161;127;.;544;572;1946;.;.;222
WZ08-5912;      Nachbearbeitung und sonstige Filmtechnik;1251;244;82;1;.;3;17;.;21;16;.;16;13;72;.;.;20
WZ08-5913;      Filmverleih und -vertrieb (ohne Videotheken);215;783;369;1;.;10;3;.;3;3;.;137;137;376;.;.;12
WZ08-5914;      Kinos;792;861;235;0;.;-1;-2;.;79;46;.;153;156;234;.;.;208
WZ08-592;    Tonstudios, Musikverlag u.Ä.;2325;2149;960;10;.;10;7;.;32;30;.;110;113;962;.;.;59
WZ08-60;  Rundfunkveranstalter;407;7138;3988;31;.;57;51;.;186;148;.;216;210;4001;.;.;185
WZ08-601;    Hörfunkveranstalter;256;512;126;1;.;1;2;.;25;20;.;23;22;126;.;.;28
WZ08-602;    Fernsehveranstalter;150;6626;3862;30;.;57;49;.;161;128;.;193;188;3875;.;.;157
WZ08-61;  Telekommunikation;2797;53018;24312;182;.;879;1435;.;9886;9745;.;5917;5946;24024;.;.;3245
WZ08-611;    Leitungsgebundene Telekommunikation;694;24359;8739;115;.;813;1111;.;6620;6562;.;3140;3255;8495;.;.;2014
WZ08-612;    Drahtlose Telekommunikation;249;18401;8605;.;.;46;211;.;2904;2861;.;.;1621;8499;.;.;1035
WZ08-613;    Satellitentelekommunikation;44;291;201;.;.;9;11;.;6;6;.;.;25;202;.;.;6
WZ08-619;    Sonstige Telekommunikation;1811;9968;6766;40;.;11;102;.;356;317;.;1083;1045;6828;.;.;190
WZ08-62;  Dienstleistungen der Informationstechnologie;97718;104127;48345;1136;.;449;1174;.;7999;6657;.;11085;10638;48140;.;.;4939
WZ08-6201;      Programmierungstätigkeiten;45743;54129;22550;668;.;442;754;.;2800;2273;.;5280;5010;22561;.;.;2162
WZ08-6202;      Beratungsleistungen der Informationstechnologie;34654;26462;14416;314;.;-92;130;.;2016;1669;.;3086;2999;14296;.;.;1477
WZ08-6203;      Betrieb von Datenverarbeitungseinrichtungen;2208;6555;3147;33;.;29;43;.;1056;1030;.;628;622;3139;.;.;438
WZ08-6209;      Sonstige Dienstleist. der Informationstechnologie;15114;16980;8232;122;.;70;248;.;2127;1685;.;2091;2008;8144;.;.;862
WZ08-63;  Informationsdienstleistungen;10947;14070;7274;128;.;67;27;.;975;793;.;929;910;7334;.;.;657
WZ08-631;    Datenverarbeitung, Hosting u.Ä., Webportale;4002;11818;6010;114;.;51;10;.;860;711;.;786;774;6064;.;.;534
WZ08-6311;      Datenverarbeitung, Hosting, verb. Tätigkeiten;1807;5209;2462;63;.;-3;1;.;539;455;.;558;554;2461;.;.;294
WZ08-6312;      Webportale;2195;6609;3549;51;.;54;9;.;320;257;.;228;220;3603;.;.;240
WZ08-639;    Sonstige Informationsdienstleistungen;6944;2252;1263;15;.;16;18;.;115;81;.;144;136;1270;.;.;123
WZ08-6391;      Korrespondenz- und Nachrichtenbüros;495;218;100;.;.;0;6;.;7;6;.;4;3;96;.;.;17
WZ08-6399;      Sonstige Informationsdienstleistungen a.n.g.;6449;2035;1163;.;.;16;11;.;108;76;.;140;133;1174;.;.;106
WZ08-K;Erbringung von Finanz- und Versicherungsleistungen;69740;230406;1541;791;.;-352;131;.;20005;8449;.;584;88;8378;.;.;26005
WZ08-64;  Erbringung von Finanzdienstleistungen;7729;104703;.;111;.;18;89;.;14049;6127;.;242;234;620;.;.;19046
WZ08-641;    Zentralbanken und Kreditinstitute;1489;85859;.;102;.;31;101;.;13009;5737;.;213;204;379;.;.;5638
WZ08-6411;      Zentralbanken;1;.;.;.;.;0;.;.;.;.;.;.;.;.;.;.;.
WZ08-6419;      Kreditinstitute (ohne Spezialkreditinstitute);1488;.;.;.;.;31;.;.;.;.;.;.;.;.;.;.;.
WZ08-642;    Beteiligungsgesellschaften;4262;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
WZ08-643;    Treuhand- u.sonst. Fonds u.ä. Finanzinstitutionen;425;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
WZ08-649;    Sonstige Finanzierungsinstitutionen;1553;18844;.;9;.;-13;-12;.;1040;389;.;29;31;241;.;.;13408
WZ08-6491;      Institutionen für Finanzierungsleasing;307;15431;.;7;.;-1;.;.;462;344;.;.;.;.;.;.;13265
WZ08-6492;      Spezialkreditinstitute;163;237;.;0;.;0;.;.;16;7;.;.;.;.;.;.;.
WZ08-6499;      Sonstige Finanzdienstleistungen a.n.g.;1083;3176;.;2;.;-12;.;.;563;38;.;24;25;191;.;.;.
WZ08-65;  Versicherungen, Rückversicherungen, Pensionskassen;819;83798;.;606;.;-158;-140;.;3929;1419;.;92;92;6121;.;.;809
WZ08-651;    Versicherungen;552;58832;.;572;.;-157;-140;.;3365;1233;.;73;75;.;.;.;.
WZ08-6511;      Lebensversicherungen;186;11171;.;.;.;0;.;.;454;158;.;.;.;.;.;.;.
WZ08-6512;      Nichtlebensversicherungen;366;47662;.;.;.;-157;.;.;2912;1076;.;.;.;3803;.;.;543
WZ08-652;    Rückversicherungen;13;23258;.;10;.;0;2;.;283;152;.;5;.;.;.;.;.
WZ08-653;    Pensionskassen und Pensionsfonds;254;1708;.;23;.;-2;-2;.;281;34;.;13;.;.;.;.;0
WZ08-66;  Mit Finanz- u. Versicherungsdienstl. verb. Tätigk.;61192;41905;1541;74;.;-211;182;.;2027;903;.;250;-238;1636;.;.;6149
WZ08-L;Grundstücks- und Wohnungswesen;185567;64219;21449;423;.;-135;1368;.;92135;7349;.;11798;11092;21064;.;.;3922
WZ08-68;  Grundstücks- und Wohnungswesen;185567;64219;21449;423;.;-135;1368;.;92135;7349;.;11798;11092;21064;.;.;3922
WZ08-681;    Kauf u.Verk. v.eig.Grundst.,Gebäuden und Wohnungen;9422;6681;2025;13;.;-672;53;.;7033;423;.;2359;1946;1751;.;.;155
WZ08-682;    Verm.u.Verp. v.eig.Grundst.,Gebäuden und Wohnungen;94459;38380;13770;299;.;-389;416;.;66378;5374;.;5717;5168;13625;.;.;2426
WZ08-683;    Vermittl.u.Verw. v.Grundst., Gebäuden u. Wohnungen;81686;19158;5654;111;.;926;900;.;18724;1551;.;3723;3978;5688;.;.;1340
WZ08-6831;      Vermittl.v. Grundstücken, Gebäuden und Wohnungen;36543;8109;2184;43;.;705;743;.;5520;740;.;2077;2147;2097;.;.;552
WZ08-6832;      Verw.v. Grundstücken, Gebäuden und Wohnungen;45143;11049;3470;68;.;221;157;.;13203;812;.;1646;1830;3591;.;.;789
WZ08-M;Freiberufliche, wiss. u. techn. Dienstleistungen;470484;179819;73617;1442;.;-2977;-552;.;17023;7917;.;20457;18954;72762;.;.;12135
WZ08-69;  Rechts- und Steuerberatung, Wirtschaftsprüfung;114878;19161;3677;148;.;253;240;.;1407;998;.;245;252;3682;.;.;3449
WZ08-691;    Rechtsberatung;59641;7883;1300;47;.;71;51;.;445;318;.;127;132;1316;.;.;1754
WZ08-692;    Wirtschaftsprüfung und Steuerberatung, Buchführung;55236;11278;2377;101;.;181;190;.;963;680;.;118;121;2366;.;.;1695
WZ08-70;  Verwaltung u.Führung v.Untern., Untern.beratung;109190;57423;23388;498;.;261;740;.;8339;2406;.;4913;4706;23135;.;.;2748
WZ08-701;    Verwaltung u.Führung v.Unternehmen u.Betrieben;23614;36543;12629;242;.;-66;180;.;6979;1595;.;3619;3448;12575;.;.;1534
WZ08-702;    Public-Relations- und Unternehmensberatung;85576;20880;10758;257;.;327;561;.;1360;811;.;1294;1258;10561;.;.;1214
WZ08-7021;      Public-Relations-Beratung;2844;966;565;4;.;0;-14;.;42;13;.;48;46;581;.;.;56
WZ08-7022;      Unternehmensberatung;82731;19914;10193;253;.;327;574;.;1318;798;.;1246;1212;9979;.;.;1158
WZ08-71;  Architektur-,Ing.büros,techn.,physik.Untersuchung;122301;49958;21584;395;.;-3620;-2491;.;3249;2046;.;8512;7843;21142;.;.;3145
WZ08-711;    Architektur- und Ingenieurbüros;114863;43749;19417;309;.;-3723;-2607;.;2518;1465;.;7854;7200;18973;.;.;2556
WZ08-7111;      Architekturbüros;37116;5621;2286;47;.;935;1057;.;458;262;.;750;649;2266;.;.;563
WZ08-7112;      Ingenieurbüros;77746;38129;17132;262;.;-4658;-3664;.;2060;1203;.;7103;6551;16708;.;.;1992
WZ08-712;    Technische,physikalische u. chemische Untersuchung;7438;6209;2167;86;.;102;116;.;731;582;.;658;643;2169;.;.;589
WZ08-72;  Forschung und Entwicklung;6992;15569;3482;180;.;86;449;.;2107;1287;.;2888;2624;3391;.;.;700
WZ08-721;    Forschg.u.Entwicklg. in Natur-u.ä. Wissenschaften;6099;15396;3437;179;.;74;435;.;2088;1280;.;2878;2615;3346;.;.;680
WZ08-7211;      Forschung und Entwicklung in Biotechnologie;840;6885;1015;40;.;51;286;.;631;250;.;1122;878;1031;.;.;173
WZ08-7219;      Sonstige Forschg.u.Entwicklg. von Naturwiss. u.Ä.;5258;8511;2422;139;.;23;148;.;1457;1030;.;1756;1737;2315;.;.;507
WZ08-722;    Forschg.u.Entwicklg. in Geisteswissenschaften;894;172;45;1;.;12;14;.;19;7;.;10;8;45;.;.;21
WZ08-73;  Werbung und Marktforschung;29734;21606;12072;105;.;-79;-42;.;913;511;.;1846;1817;12085;.;.;1298
WZ08-731;    Werbung;28477;19921;11046;97;.;-82;-44;.;852;472;.;1784;1757;11055;.;.;1222
WZ08-7311;      Werbeagenturen;26714;13654;6987;90;.;-81;-67;.;390;285;.;1406;1367;7012;.;.;710
WZ08-7312;      Vermarktung u.Vermittlung v.Werbezeiten u.-flächen;1763;6267;4059;7;.;-1;23;.;462;187;.;377;390;4043;.;.;512
WZ08-732;    Markt- und Meinungsforschung;1257;1685;1026;8;.;3;2;.;60;38;.;62;60;1029;.;.;76
WZ08-74;  Sonst. freiberufl.,wissenschaftl. u. techn.Tätigk.;76634;14103;8711;112;.;120;535;.;795;495;.;1487;1151;8635;.;.;641
WZ08-741;    Ateliers für Textil-,Schmuck-,Grafik- u.ä. Design;25655;2499;834;37;.;45;387;.;163;86;.;638;298;832;.;.;191
WZ08-742;    Fotografie und Fotolabors;12886;1099;233;17;.;-1;1;.;112;88;.;199;208;224;.;.;127
WZ08-743;    Übersetzen und Dolmetschen;7640;484;173;5;.;-6;6;.;12;9;.;29;30;159;.;.;31
WZ08-749;    Sonstige freiberufl.,wiss.u.techn.Tätigk. a.n.g.;30453;10021;7471;53;.;83;141;.;508;313;.;622;614;7420;.;.;292
WZ08-75;  Veterinärwesen;10756;2000;703;3;.;2;17;.;213;175;.;565;562;692;.;.;154
WZ08-N;Sonstige wirtschaftliche Dienstleistungen;222828;144271;70895;1990;.;1081;13422;.;41396;35664;.;19108;18783;59007;.;.;8535
WZ08-77;  Vermietung von beweglichen Sachen;25336;36508;16991;256;.;-69;665;.;31882;30881;.;4109;4179;16308;.;.;2577
WZ08-771;    Vermietung von Kraftwagen;5045;14710;6207;52;.;-44;322;.;24390;24194;.;1642;1621;5862;.;.;1432
WZ08-7711;      Vermietung von Kraftwagen m.Gesamtgewicht bis 3,5t;3934;13868;5805;.;.;-41;221;.;23978;23807;.;1449;1439;5553;.;.;1378
WZ08-7712;      Vermietung von Kraftwagen m.Gesamtgewicht üb. 3,5t;1112;842;402;.;.;-2;101;.;412;387;.;193;182;309;.;.;53
WZ08-772;    Vermietung von Gebrauchsgütern;4694;2930;1113;72;.;-16;17;.;951;825;.;274;319;1094;.;.;298
WZ08-7721;      Vermietung von Sport- und Freizeitgeräten;912;142;47;.;.;-1;14;.;60;.;.;20;18;35;.;.;22
WZ08-7722;      Videotheken;32;12;7;.;.;0;0;.;0;.;.;1;1;7;.;.;2
WZ08-7729;      Vermietung von sonstigen Gebrauchsgütern;3750;2776;1059;.;.;-15;4;.;891;770;.;253;301;1052;.;.;274
WZ08-773;    Vermiet.v.Maschinen,Geräten u.sonst.bewegl.Sachen;14806;13505;7391;130;.;-11;309;.;6399;5759;.;2038;2088;7082;.;.;727
WZ08-7731;      Vermietung von landwirtschaftl.Maschinen u.Geräten;900;181;27;.;.;8;1;.;94;87;.;.;27;41;.;.;7
WZ08-7732;      Vermietung von Baumaschinen und -geräten;5566;3162;1343;.;.;-2;-13;.;1907;1576;.;612;701;1264;.;.;280
WZ08-7733;      Vermietung v.Büromasch.,DV-Gerät.u.-Einrichtungen;269;585;245;2;.;0;5;.;1460;1441;.;.;94;240;.;.;18
WZ08-7734;      Vermietung von Wasserfahrzeugen;612;154;15;0;.;-3;-3;.;49;32;.;35;37;13;.;.;19
WZ08-7735;      Vermietung von Luftfahrzeugen;315;482;130;0;.;-4;-5;.;6;5;.;231;229;132;.;.;9
WZ08-7739;      Vermiet.v.sonst.Masch.,Gerät.u.bewegl.Sachen a.n.g;7145;8942;5631;34;.;-11;324;.;2883;2618;.;1033;1000;5391;.;.;394
WZ08-774;    Leasing n.finanz.immat. Vermög.gegenst.(oh.Copyr.);791;5363;2280;3;.;2;16;.;142;104;.;156;151;2271;.;.;120
WZ08-78;  Vermittlung und Überlassung von Arbeitskräften;10475;15487;5766;802;.;52;68;.;593;380;.;631;624;5756;.;.;1665
WZ08-781;    Vermittlung von Arbeitskräften;4446;2358;1273;165;.;2;8;.;63;43;.;78;69;1276;.;.;120
WZ08-782;    Befristete Überlassung von Arbeitskräften;5052;11172;4106;611;.;35;50;.;460;309;.;448;444;4095;.;.;1302
WZ08-783;    Sonstige Überlassung von Arbeitskräften;977;1957;387;26;.;14;10;.;70;27;.;106;111;385;.;.;243
WZ08-79;  Reisebüros, -veranstalter u. sonst. Reservierungen;10807;24015;15672;26;.;11;292;.;264;202;.;3573;3531;15434;.;.;350
WZ08-791;    Reisebüros und Reiseveranstalter;9635;22880;15196;18;.;9;285;.;189;169;.;3512;3473;14959;.;.;297
WZ08-7911;      Reisebüros;6713;2640;1403;2;.;0;5;.;48;46;.;226;227;1396;.;.;140
WZ08-7912;      Reiseveranstalter;2922;20240;13793;17;.;9;281;.;141;122;.;3287;3246;13562;.;.;157
WZ08-799;    Erbringung sonstiger Reservierungsdienstleistungen;1172;1136;477;7;.;2;6;.;75;34;.;61;58;475;.;.;53
WZ08-80;  Wach- und Sicherheitsdienste sowie Detekteien;6440;4023;2067;186;.;39;21;.;239;193;.;191;184;2073;.;.;211
WZ08-801;    Private Wach- und Sicherheitsdienste;5061;3499;1828;178;.;35;20;.;198;163;.;119;115;1829;.;.;176
WZ08-802;    Sicherheitsdienste m.Überwachungs- u.Alarmsystemen;675;448;213;8;.;4;1;.;38;27;.;71;68;218;.;.;31
WZ08-803;    Detekteien;705;76;26;1;.;0;0;.;3;3;.;1;1;26;.;.;3
WZ08-81;  Gebäudebetreuung, Garten- und Landschaftsbau;122805;22642;7151;292;.;665;1046;.;2998;2405;.;5622;5432;6993;.;.;1784
WZ08-811;    Hausmeisterdienste;34288;4201;1758;37;.;34;112;.;472;340;.;801;755;1727;.;.;266
WZ08-812;    Reinigung von Gebäuden, Straßen, Verkehrsmitteln;46608;9574;3155;218;.;115;283;.;1053;755;.;1491;1443;3065;.;.;991
WZ08-8121;      Allgemeine Gebäudereinigung;28359;6358;2264;164;.;65;171;.;609;473;.;961;933;2211;.;.;717
WZ08-8122;      Spezielle Reinigung von Gebäuden und Maschinen;13561;2033;476;33;.;48;93;.;315;176;.;259;239;456;.;.;162
WZ08-8129;      Reinigung a.n.g.;4687;1183;415;21;.;2;19;.;129;106;.;272;271;399;.;.;112
WZ08-813;    Garten-, Landschaftsbau, sonst.gärtn.Dienstleistg.;41909;8867;2238;38;.;516;652;.;1473;1310;.;3331;3234;2201;.;.;527
WZ08-82;  Dienstleistungen für Unternehmen u.Privatpers. ang;46964;41596;23247;428;.;383;11329;.;5419;1603;.;4981;4833;12443;.;.;1948
WZ08-821;    Sekretariats- und Schreibdienste, Copy-Shops;8075;618;136;9;.;5;1;.;35;28;.;99;102;137;.;.;86
WZ08-8211;      Allgemeine Sekretariats- und Schreibdienste;6263;408;88;7;.;4;2;.;23;18;.;38;40;88;.;.;55
WZ08-8219;      Copy-Shops,Dok.vorbereit.,spez.Sekretariatsdienste;1811;210;48;2;.;1;0;.;12;10;.;61;62;49;.;.;31
WZ08-822;    Call Center;1091;2449;1228;67;.;5;14;.;96;63;.;210;208;1222;.;.;206
WZ08-823;    Messe-, Ausstellungs- und Kongressveranstalter;6109;5419;2978;38;.;44;80;.;1248;462;.;533;517;2958;.;.;389
WZ08-829;    Sonstige Dienstleistungen f.Untern. u.Privatpers.;31689;33110;18905;313;.;329;11234;.;4041;1050;.;4138;4005;8126;.;.;1267
WZ08-8291;      Inkassobüros und Auskunfteien;820;2473;831;91;.;7;6;.;81;60;.;71;72;829;.;.;141
WZ08-8292;      Abfüllen und Verpacken;1268;3155;642;97;.;7;-35;.;300;139;.;1169;1221;632;.;.;165
WZ08-8299;      Sonst. Dienstleistg. f.Untern.u.Privatpers. a.n.g.;29600;27482;17432;125;.;315;11263;.;3660;851;.;2898;2712;6665;.;.;962
WZ08-P;Erziehung und Unterricht;54156;11765;2181;98;.;43;66;.;1724;956;.;877;883;2156;.;.;2316
WZ08-85;  Erziehung und Unterricht;54156;11765;2181;98;.;43;66;.;1724;956;.;877;883;2156;.;.;2316
WZ08-851;    Kindergärten und Vorschulen;1452;1294;103;29;.;17;1;.;288;87;.;131;146;104;.;.;313
WZ08-852;    Grundschulen;123;98;4;.;.;0;0;.;37;8;.;6;7;4;.;.;30
WZ08-853;    Weiterführende Schulen;2397;1777;282;18;.;-6;-5;.;406;182;.;171;170;283;.;.;411
WZ08-8531;      Allgemein bildende weiterführende Schulen;294;454;32;1;.;0;1;.;105;45;.;45;44;32;.;.;134
WZ08-8532;      Berufsbildende weiterführende Schulen;2103;1322;249;18;.;-6;-6;.;301;137;.;126;126;250;.;.;276
WZ08-854;    Tertiärer u.post-sekundärer, nicht tert.Unterricht;2998;1585;205;7;.;4;3;.;205;108;.;88;89;205;.;.;278
WZ08-8541;      Post-sekundärer, nicht tertiärer Unterricht;2104;158;35;1;.;0;1;.;13;12;.;8;8;33;.;.;27
WZ08-8542;      Tertiärer Unterricht;894;1426;170;6;.;4;2;.;192;96;.;80;80;172;.;.;251
WZ08-855;    Sonstiger Unterricht;46741;6923;1554;43;.;27;65;.;782;569;.;474;466;1527;.;.;1274
WZ08-8551;      Sport- und Freizeitunterricht;11503;685;131;0;.;-5;-4;.;.;46;.;43;51;121;.;.;161
WZ08-8552;      Kulturunterricht;3043;247;17;0;.;-2;0;.;.;7;.;9;8;15;.;.;81
WZ08-8553;      Fahr- und Flugschulen;12348;1178;149;6;.;10;16;.;360;325;.;79;78;144;.;.;267
WZ08-8559;      Sonstiger Unterricht a.n.g.;19847;4813;1257;37;.;23;53;.;321;191;.;344;329;1247;.;.;764
WZ08-856;    Erbringung von Dienstleistungen für den Unterricht;446;88;34;.;.;1;1;.;6;3;.;6;6;34;.;.;11
WZ08-Q;Gesundheits- und Sozialwesen;242042;122214;20884;4019;.;272;530;.;25296;9625;.;40280;40582;21354;.;.;14453
WZ08-86;  Gesundheitswesen;213642;91891;17063;2502;.;206;324;.;17358;7505;.;34119;34408;17399;.;.;8208
WZ08-861;    Krankenhäuser;1741;57123;10033;2350;.;236;250;.;13484;5245;.;26688;26999;10383;.;.;2148
WZ08-862;    Arzt- und Zahnarztpraxen;117998;23187;4776;6;.;6;13;.;2534;1373;.;4795;4791;4776;.;.;4218
WZ08-8621;      Arztpraxen für Allgemeinmedizin;27843;2282;68;.;.;0;0;.;287;145;.;230;230;68;.;.;600
WZ08-8622;      Facharztpraxen;50913;10254;420;3;.;7;14;.;1303;701;.;2474;2470;418;.;.;2394
WZ08-8623;      Zahnarztpraxen;39242;10651;4288;.;.;-1;-1;.;944;528;.;2090;2091;4290;.;.;1224
WZ08-869;    Gesundheitswesen a.n.g.;93903;11581;2254;146;.;-36;61;.;1340;888;.;2637;2618;2240;.;.;1842
WZ08-87;  Heime (ohne Erholungs- und Ferienheime);6017;19002;2118;1160;.;63;135;.;4586;1140;.;4270;4328;2244;.;.;4437
WZ08-871;    Pflegeheime;2939;9641;1044;654;.;35;59;.;2381;653;.;2281;2357;1128;.;.;2117
WZ08-872;    Stationäre Einrichtungen z.psychosoz.Betreuung usw;139;127;4;1;.;0;1;.;35;6;.;20;20;4;.;.;37
WZ08-873;    Altenheime, Alten- und Behindertenwohnheime;1738;8337;1013;492;.;21;64;.;1896;426;.;1803;1786;1054;.;.;2100
WZ08-879;    Sonstige Heime (ohne Erholungs- und Ferienheime);1201;897;57;13;.;7;12;.;274;56;.;165;164;58;.;.;183
WZ08-88;  Sozialwesen (ohne Heime);22383;11321;1703;357;.;3;71;.;3352;980;.;1891;1846;1710;.;.;1808
WZ08-881;    Soziale Betreuung älterer Menschen und Behinderter;14767;5863;632;187;.;9;48;.;1344;495;.;1029;1018;622;.;.;971
WZ08-889;    Sonstiges Sozialwesen (ohne Heime);7617;5459;1071;170;.;-7;23;.;2008;484;.;862;828;1088;.;.;838
